,tweet,is_retweet
70,"RT @Collaterly: If we do not nominate Sanders, the ONLY candidate against these people, they will do it again. And again. And again. FOREVE…",True
71,I had to wait 55 years before I saw 6 (!) women running for #POTUS...one of my daughters has to wait 24 years...the… https://t.co/UdPI7rFqqt,False
72,RT @gtconway3d: Let’s not hear from John Bolton and other key witnesses at a constitutionally mandated impeachment trial of the president o…,True
73,"RT @BernieSanders: If you can vote, show up today for those who can't—

The disenfranchised, who deserve their rights restored. 

The undoc…",True
74,RT @sceneryfortae: Vote for Inner Child 🚨,True
75,Lmfao,False
76,RT @lexi4prez: warren supporters who haven’t voted yet: do the right thing. vote for bernie. warren has no chance. she’s only in this to hu…,True
77,"RT @AndrewDesiderio: NEW: Ron Johnson says he’ll likely release an interim report within next 1-2 months on his cmte’s Biden probe. 

He in…",True
78,"RT @binance: Time to select players for Round 7 of the #Binance Community Coin Vote!

Want to see your favourite project go head to head fo…",True
79,RT @TrumpWarRoom: President Trump received 1.9 million votes last night in Texas which is over 1 million more than every incumbent presiden…,True
80,"RT @mateagold: Freshman Marleta Haynes, 19, waited for more than five hours to vote at Texas Southern University in Houston on Tuesday, fin…",True
81,"RT @bocxtop: My grandpa is 84 and half blind, probably gonna be the last time he’s able to vote for a president so I was honored to help hi…",True
82,"RT @v0ongi: 🚨 THE GAP IS NOT SAFE 🚨

Rt and Reply this tweet with keyword ""we love 7"" + #BTSArmy #BestFanArmy #iHeartAwards @BTS_twt 

1 RT…",True
83,RT @IsraelUSAforevr: Veteran to Joe Biden: We are just wondering why we should vote for someone who voted for a war and enabled a war that…,True
84,"RT @ClintSmithIII: Whatever happens from here, I’ll always be grateful to Bernie for being the only candidate with a policy platform that i…",True
85,RT @brithume: Schumer’s threats against Gorsuch and Kavanaugh not even playing well among lefty legal scholars.,True
86,"RT @RainLouise1: Please vote po sa song ni Dodong. 

@mor1019 #MORHot10 
Meant To Be by Edward Barber

@Barber_Edward_ 
@maymayentrata07 
@…",True
87,"RT @mitchellvii: Did Chuck Schumer just threaten SCOTUS Gorsuch and Kavanaugh with violence if they vote against abortion?

I think he did.…",True
88,"RT @v0ongi: 🚨 THE GAP IS NOT SAFE 🚨

Rt and Reply this tweet with keyword ""we love 7"" + #BTSArmy #BestFanArmy #iHeartAwards @BTS_twt 

1 RT…",True
89,Sis this would be like if your church friends started calling you a snake to your face and your priest knew about i… https://t.co/qfl6iYnzfN,False
90,@VickiSherlock @SaraJBenincasa I found this to be a well said thread on how it's uninformed to say Warren kneecappe… https://t.co/smtiupwkrT,False
91,"GALA MADNESS BRACKET CHALLENGE! 👑

So pumped for the first ever Gala Bracket Challenge, fans it will be up to you w… https://t.co/rcg8RCEDuO",False
92,RT @Liberty2Bfree: @johnpavlovitz Sen. Elizabeth Warren who has the experience fighting Corporate Corruption &amp; most importantly WINNING FOR…,True
93,"RT @LacyJohnsonMN: Ilhan Omar is upset Bernie Sanders didn’t win Minnesota last night. 

I have some news for her.

She is going to be even…",True
94,"@realDonaldTrump Trump's just going for the vet vote again. Plus, Jack Keane is now a Fox News Analyst. So it's onc… https://t.co/EBp0KcHSEO",False
95,@pattonoswalt I mean...if I have to I will hold my nose and vote for #CreepyUncleJoe. I just wish I could go to the… https://t.co/RtaeYhJtAc,False
96,"RT @supitsshekinah: I got to vote for Donald J. Trump my first time voting EVER in 2016. 

 I am PROUD to vote for him a second time in Nov…",True
97,"RT @nkjemisin: I don't trust Biden to fix this, if he ends up winning. He's spent too much time palling around with segregationists to thin…",True
98,RT @TeaPainUSA: Matt Gaetz would have to pick up 20 I.Q. points just to be classified an “idiot.”,True
99,"RT @eatinginmycar: Things I don't need from a presidential candidate:
- Friendship
- Parenting
- Platitudes
- Niceness

Things I do need:
-…",True
100,"RT @psychdr100: I see threats from Sanders supporters they will not vote against Trump if Bernie is not the primary winner.
Gotta believe t…",True
101,Looney California.,False
102,"RT @Mimirocah1: Funny how @RonJohnsonWI, who spent 4th of July in a Moscow, is concerned about this but not concerned about voters having a…",True
103,"RT @jbtraacker: ATTENTION

 WE ARE LOSING, keep voting on both, twitter and their website. If you are OUTSIDE THE US, YOU CAN USE VPN TO VO…",True
104,"@Mickeleh In Australia, its on a Saturday, you can vote for your district at any polling location, and they usually… https://t.co/RNT24MYDxJ",False
105,@JoeBiden Aren’t you glad babies can’t vote?,False
